t,rho,rhou,rhov,rhow,E
0.000101,137813.12,1.3878117e+08,2.317961e+07,2.2340995e+06,5.6305193e+10
0.000102,138486.8,1.3880874e+08,2.3002552e+07,2.240201e+06,5.6944173e+10
0.00010300000000000001,138773.78,1.3884453e+08,2.2786976e+07,2.2678315e+06,5.7620763e+10
0.00010400000000000001,138337.23,1.3848978e+08,2.2874544e+07,2.2693185e+06,5.746955e+10
0.000105,137229.53,1.3808907e+08,2.2313618e+07,2.2833252e+06,5.707325e+10
0.000106,138075.06,1.3860034e+08,2.1970826e+07,2.2540748e+06,5.8221728e+10
0.000107,137146.44,1.3778901e+08,2.193566e+07,2.270596e+06,5.7626382e+10
0.00010800000000000001,137924.25,1.3712494e+08,2.1811388e+07,2.2900822e+06,5.732085e+10
0.000109,137353.73,1.3657669e+08,2.119701e+07,2.227127e+06,5.681915e+10
0.00011,137156.56,1.3592445e+08,2.1618822e+07,2.2089082e+06,5.6517136e+10
0.000111,138727.5,1.3592942e+08,2.3195512e+07,2.2037858e+06,5.713564e+10
0.00011200000000000001,140235.88,1.3653134e+08,2.343569e+07,2.1674062e+06,5.834791e+10
0.00011300000000000001,137393.23,1.3516872e+08,2.198424e+07,2.1859568e+06,5.6840114e+10
0.000114,139067.7,1.3568949e+08,2.2862504e+07,2.2499908e+06,5.791333e+10
0.000115,137987.05,1.3488714e+08,2.2265084e+07,2.2713322e+06,5.7062044e+10
0.000116,139417.17,1.348941e+08,2.2016382e+07,2.2955652e+06,5.7390014e+10
0.00011700000000000001,140795.19,1.3545701e+08,2.4668882e+07,2.2845605e+06,5.84208e+10
0.00011800000000000001,141465.11,1.3568261e+08,2.2230048e+07,2.2808772e+06,5.9047182e+10
0.000119,141742.73,1.3556563e+08,2.2387108e+07,2.3010662e+06,5.91698e+10
0.00011999911111111112,141178.61,1.3537173e+08,2.1263968e+07,2.2655375e+06,5.9233477e+10
0.000101,138334.8,1.388761e+08,2.2535604e+07,2.2342368e+06,5.6467108e+10
0.000102,138518.92,1.3916907e+08,2.3085792e+07,2.2349508e+06,5.7417662e+10
0.00010300000000000001,141646.3,1.4018286e+08,2.4294918e+07,2.2441228e+06,5.9523326e+10
0.00010400000000000001,138602.1,1.3863782e+08,2.2035586e+07,2.2235775e+06,5.762223e+10
0.000105,138748.77,1.3879171e+08,2.3645262e+07,2.2141035e+06,5.813153e+10
0.000106,137838.58,1.3806022e+08,2.2508584e+07,2.214988e+06,5.756423e+10
0.000107,138633.4,1.3751048e+08,2.357699e+07,2.2450832e+06,5.742805e+10
0.00010800000000000001,138238.2,1.3704082e+08,2.3223022e+07,2.2671302e+06,5.7395233e+10
0.000109,137867.58,1.3658795e+08,2.3012382e+07,2.204162e+06,5.7218322e+10
0.00011,137577.61,1.3637806e+08,2.2808962e+07,2.227038e+06,5.715541e+10
0.000111,137402.77,1.3568694e+08,2.2408592e+07,2.2235445e+06,5.660289e+10
0.00011200000000000001,138263.08,1.3595642e+08,2.2635224e+07,2.2608865e+06,5.74053e+10
0.00011300000000000001,137210.81,1.3488584e+08,2.1826218e+07,2.233285e+06,5.646412e+10
0.000114,137134.69,1.3455248e+08,2.1126966e+07,2.2341765e+06,5.6403562e+10
0.000115,138644.77,1.3522546e+08,2.3143466e+07,2.2460598e+06,5.7642246e+10
0.000116,139734.48,1.3557326e+08,2.272447e+07,2.2862975e+06,5.8459034e+10
0.00011700000000000001,141447.27,1.3628296e+08,2.3152692e+07,2.3272168e+06,5.9653235e+10
0.00011800000000000001,141689.8,1.3624022e+08,2.3237366e+07,2.3417908e+06,5.983632e+10
0.000119,143555.95,1.3670459e+08,2.406885e+07,2.2870465e+06,6.078353e+10
0.00011999911111111112,142351.84,1.3609734e+08,2.1914008e+07,2.3533788e+06,6.0279525e+10
0.000101,139060.94,1.396128e+08,2.3138124e+07,2.2369928e+06,5.7504743e+10
0.000102,137944.17,1.3878784e+08,2.1973916e+07,2.2510872e+06,5.688901e+10
0.00010300000000000001,138938.4,1.3916378e+08,2.2897526e+07,2.2518735e+06,5.8076656e+10
0.00010400000000000001,137643.62,1.3870558e+08,2.2284024e+07,2.2348618e+06,5.7630265e+10
0.000105,137630.58,1.3828448e+08,2.1406884e+07,2.255612e+06,5.736341e+10
0.000106,137814.11,1.3818624e+08,2.198909e+07,2.26107e+06,5.7743892e+10
0.000107,137437.78,1.3733522e+08,2.2292304e+07,2.2573135e+06,5.705974e+10
0.00010800000000000001,137320.39,1.3674838e+08,2.1935436e+07,2.3002218e+06,5.6734888e+10
0.000109,137167.84,1.3642699e+08,2.1327888e+07,2.289709e+06,5.6756396e+10
0.00010999911111111112,137819.58,1.3621318e+08,2.220384e+07,2.2571715e+06,5.7038012e+10
0.000110999,138910.17,1.3624117e+08,2.4835232e+07,2.2698475e+06,5.7572385e+10
0.000111999,135600.42,1.3432698e+08,2.1613158e+07,2.3089615e+06,5.5262556e+10
0.00011299900000000001,137177.88,1.3499648e+08,2.3402338e+07,2.3433115e+06,5.6629133e+10
0.000113999,138761.81,1.3541552e+08,2.3398454e+07,2.3351252e+06,5.7706156e+10
0.000114999,137422.38,1.3443856e+08,2.1457602e+07,2.3740372e+06,5.6590127e+10
0.000115999,138735.33,1.3497355e+08,2.2209754e+07,2.3881845e+06,5.757702e+10
0.000116999,141115.22,1.3584624e+08,2.189463e+07,2.3649482e+06,5.899699e+10
0.000117999,141881.19,1.3608264e+08,2.2150018e+07,2.3216582e+06,5.958562e+10
0.000118999,144344.34,1.3725085e+08,2.3574086e+07,2.3277172e+06,6.1488566e+10
0.0001199982,143417.83,1.3646594e+08,2.385713e+07,2.3790158e+06,6.0843557e+10
